"","long","lat","order","hole","piece","id","group","province","institution","participants","teacher_facilitator","classes","classroom","kindergarten","playgroup","daycare","sps","all_2017_2018","all_2018_2019","all_2019_2020","all_2020_2021","stud_tk","stud_kb","stud_tpa","stud_sps","stud_2017_2018","stud_2018_2019","stud_2019_2020","stud_2020_2021","teacher_tk","teacher_kb","teacher_tpa","teacher_sps","teacher_2017_2018","teacher_2018_2019","teacher_2019_2020","teacher_2020_2021","tk_classsize","tk_stu_teacher","kb_classsize","tpa_classsize","sps_classsize","kb_stu_teach","tpa_stu_teach","sps_stu_teach"
"29",95.2523766,5.38409070000006,29,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"30",95.1938363,5.52731710000006,30,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"31",95.4319915,5.65675020000003,31,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"32",95.5199793,5.59375350000005,32,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"33",95.6152859000001,5.62657430000007,33,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"34",95.8870115000001,5.50387830000005,34,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"35",96.0791112000001,5.29240300000004,35,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"36",96.3919917000001,5.20977220000003,36,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"37",96.8492713,5.27705720000006,37,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"38",97.1029793000001,5.22506480000004,38,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"39",97.2019545,5.14115570000007,39,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"40",97.4984108,5.24942490000007,40,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"41",97.9042076000001,4.89017070000006,41,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"42",98.0176254,4.61107250000003,42,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"43",97.9825394000001,4.53627160000002,43,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"44",98.0717374000001,4.54751860000005,44,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"45",98.2866218,4.41972650000002,45,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"46",98.252208,4.28916590000006,46,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"47",95.8051433,2.92983200000003,47,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
